denominazione_regione,indicatore_stress
Abruzzo,4.51
Basilicata,3.57
Calabria,3.38
Campania,3.76
Emilia-Romagna,2.66
Friuli Venezia Giulia,2.49
Lazio,2.66
Liguria,2.55
Lombardia,1.94
Marche,3.71
Molise,3.22
P.A. Trento,2.13
Piemonte,2.22
Puglia,2.87
Sardegna,2.83
Sicilia,3.12
Toscana,2.31
Umbria,3.38
Italia,2.82
