"data","denominazione_regione","totale_casi","terapia_intensiva","ricoverati_con_sintomi","totale_casi_lag","incremento","PL_area_non_critica","PL_terapia_intensiva","popolazione","nuovi_vaccinati","vaccinati","incidenza","saturazione_ti","saturazione_area_non_critica","casi_soglia_50","casi_soglia_150","casi_soglia_250","vaccinati_suscettibili","suscettibili","casi_soglia_50_suscettibili","casi_soglia_150_suscettibili","casi_soglia_250_suscettibili","soglia_50_effettiva","soglia_150_effettiva","soglia_250_effettiva","moltiplicatore_vaccini","soglia_50_equivalente","soglia_150_equivalente","soglia_250_equivalente","indicatore_stress"
2020-02-26,"P.A. Bolzano",1,0,1,NA,NA,391,100,533715,NA,NA,NA,0,0,266.86,800.57,1334.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,"P.A. Trento",0,0,0,NA,NA,517,60,544745,NA,NA,NA,0,0,272.37,817.12,1361.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,"Piemonte",3,0,2,NA,NA,5824,628,4273210,NA,NA,NA,0,0,2136.6,6409.82,10683.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,"Puglia",0,0,0,NA,NA,2799,462,3926931,NA,NA,NA,0,0,1963.47,5890.4,9817.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,"Sardegna",0,0,0,NA,NA,1602,216,1598225,NA,NA,NA,0,0,799.11,2397.34,3995.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,"Sicilia",3,0,1,NA,NA,2918,644,4840876,NA,NA,NA,0,0,2420.44,7261.31,12102.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,"Toscana",2,0,2,NA,NA,5033,570,3668333,NA,NA,NA,0,0,1834.17,5502.5,9170.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,"Umbria",0,0,0,NA,NA,671,97,865013,NA,NA,NA,0,0,432.51,1297.52,2162.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,"Valle d'Aosta",0,0,0,NA,NA,67,23,123895,NA,NA,NA,0,0,61.95,185.84,309.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,"Veneto",71,8,16,NA,NA,6000,1000,4852453,NA,NA,NA,0.01,0,2426.23,7278.68,12131.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
